alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.7222440622440623,0.31597473076633464
0.6,0.0,1e-7,1,[6],0.8604135954135954,0.48366526399124776
0.6,0.0,1e-7,2,"[2, 2]",0.10217035217035217,0.0
0.6,0.0,1e-7,2,"[4, 4]",0.0585995085995086,0.0
0.6,0.0,1e-7,3,"[4, 4, 4]",0.06475839475839476,0.0
0.6,0.1,1e-7,1,[4],0.6711056511056512,0.2654957171316097
0.6,0.1,1e-7,1,[6],0.9235585585585584,0.7217447827115662
0.6,0.1,1e-7,2,"[2, 2]",0.10476658476658476,0.0
0.6,0.1,1e-7,2,"[4, 4]",0.1437960687960688,0.01617567326727091
0.6,0.1,1e-7,3,"[4, 4, 4]",0.15158067158067157,0.0
0.6,0.25,1e-7,1,[4],0.6257944307944309,0.17603956580301988
0.6,0.25,1e-7,1,[6],0.866908271908272,0.5794241580576276
0.6,0.25,1e-7,2,"[2, 2]",0.0956838656838657,0.0
0.6,0.25,1e-7,2,"[4, 4]",0.13082309582309581,0.014856675657912183
0.6,0.25,1e-7,3,"[4, 4, 4]",0.13406224406224407,0.0
0.7,0.0,1e-7,1,[4],0.6693734643734643,0.28142445816888106
0.7,0.0,1e-7,1,[6],0.921072891072891,0.7137586405504482
0.7,0.0,1e-7,2,"[2, 2]",0.104009009009009,0.017558593346448485
0.7,0.0,1e-7,2,"[4, 4]",0.11514332514332515,0.010146877411772564
0.7,0.0,1e-7,3,"[4, 4, 4]",0.07374283374283375,0.013546865644464537
0.7,0.1,1e-7,1,[4],0.44513513513513514,0.10404548855632031
0.7,0.1,1e-7,1,[6],0.8833374283374283,0.6085043265440915
0.7,0.1,1e-7,2,"[2, 2]",0.13623259623259626,0.0
0.7,0.1,1e-7,2,"[4, 4]",0.11936527436527436,0.009152626507958825
0.7,0.1,1e-7,3,"[4, 4, 4]",0.11698607698607696,0.0
0.7,0.25,1e-7,1,[4],0.6918550368550369,0.3098331049850792
0.7,0.25,1e-7,1,[6],0.9153439803439805,0.693882915966725
0.7,0.25,1e-7,2,"[2, 2]",0.10076576576576576,0.0
0.7,0.25,1e-7,2,"[4, 4]",0.120012285012285,0.003729350981524865
0.7,0.25,1e-7,3,"[4, 4, 4]",0.15255118755118754,0.0
0.8,0.0,1e-7,1,[4],0.736949221949222,0.35815692568863977
0.8,0.0,1e-7,1,[6],0.877927927927928,0.6206046884405338
0.8,0.0,1e-7,2,"[2, 2]",0.1558026208026208,0.0
0.8,0.0,1e-7,2,"[4, 4]",0.08043816543816544,0.010224183061288616
0.8,0.0,1e-7,3,"[4, 4, 4]",0.053521703521703524,0.0026019408569387926
0.8,0.1,1e-7,1,[4],0.7681900081900083,0.3990553803502166
0.8,0.1,1e-7,1,[6],0.921826371826372,0.7192150047731667
0.8,0.1,1e-7,2,"[2, 2]",0.10638820638820638,0.0
0.8,0.1,1e-7,2,"[4, 4]",0.13412366912366913,0.029181768385579378
0.8,0.1,1e-7,3,"[4, 4, 4]",0.10584766584766585,0.0
0.8,0.25,1e-7,1,[4],0.41398853398853397,0.053336630287470876
0.8,0.25,1e-7,1,[6],0.7473259623259624,0.37131246466928647
0.8,0.25,1e-7,2,"[2, 2]",0.10000819000819001,0.0
0.8,0.25,1e-7,2,"[4, 4]",0.13341932841932844,0.00393207718059665
0.8,0.25,1e-7,3,"[4, 4, 4]",0.10314496314496313,0.0
