alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.8065410779696494,0.5717003378010244
0.6,0.0,1e-7,1,[6],0.8004186289900576,0.5312241473248338
0.6,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.6,0.0,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.6,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.6,0.1,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.6,0.1,1e-7,1,[6],0.8085818942961801,0.574297740398427
0.6,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.6,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.6,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.6,0.25,1e-7,1,[4],0.8106227106227106,0.5792208173215039
0.6,0.25,1e-7,1,[6],0.8085818942961801,0.574297740398427
0.6,0.25,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.6,0.25,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.6,0.25,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.7,0.0,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.7,0.0,1e-7,1,[6],0.8070643642072215,0.575834383008296
0.7,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.7,0.0,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.7,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.7,0.1,1e-7,1,[4],0.8106227106227106,0.583298221398908
0.7,0.1,1e-7,1,[6],0.8085818942961801,0.574297740398427
0.7,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.7,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.7,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.7,0.25,1e-7,1,[4],0.8106227106227106,0.583298221398908
0.7,0.25,1e-7,1,[6],0.8085818942961801,0.574297740398427
0.7,0.25,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.7,0.25,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.7,0.25,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.8,0.0,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.8,0.0,1e-7,1,[6],0.8106227106227106,0.5792208173215039
0.8,0.0,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.8,0.0,1e-7,2,"[4, 4]",0.8106227106227106,0.5792208173215039
0.8,0.0,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.8,0.1,1e-7,1,[4],0.8131868131868132,0.5860629225846617
0.8,0.1,1e-7,1,[6],0.8106227106227106,0.5792208173215039
0.8,0.1,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.8,0.1,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.8,0.1,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
0.8,0.25,1e-7,1,[4],0.8085818942961801,0.574297740398427
0.8,0.25,1e-7,1,[6],0.8111459968602827,0.5811398456615848
0.8,0.25,1e-7,2,"[2, 2]",0.691156462585034,0.0
0.8,0.25,1e-7,2,"[4, 4]",0.691156462585034,0.0
0.8,0.25,1e-7,3,"[4, 4, 4]",0.691156462585034,0.0
