alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.8533333333333333,0.6218614718614719
0.6,0.0,1e-7,1,[6],0.8583333333333334,0.6306277056277056
0.6,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.6,0.0,1e-7,2,"[4, 4]",0.755,0.0
0.6,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.6,0.1,1e-7,1,[4],0.8533333333333333,0.6306277056277056
0.6,0.1,1e-7,1,[6],0.8683333333333334,0.6347619047619047
0.6,0.1,1e-7,2,"[2, 2]",0.755,0.0
0.6,0.1,1e-7,2,"[4, 4]",0.755,0.0
0.6,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
0.6,0.25,1e-7,1,[4],0.8633333333333333,0.6397186147186147
0.6,0.25,1e-7,1,[6],0.8583333333333334,0.6397186147186147
0.6,0.25,1e-7,2,"[2, 2]",0.755,0.0
0.6,0.25,1e-7,2,"[4, 4]",0.8533333333333333,0.6397186147186147
0.6,0.25,1e-7,3,"[4, 4, 4]",0.755,0.0
0.7,0.0,1e-7,1,[4],0.8583333333333334,0.6397186147186147
0.7,0.0,1e-7,1,[6],0.8483333333333333,0.6397186147186147
0.7,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.7,0.0,1e-7,2,"[4, 4]",0.9433333333333334,0.888946608946609
0.7,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.7,0.1,1e-7,1,[4],0.8583333333333332,0.6218614718614719
0.7,0.1,1e-7,1,[6],0.8583333333333334,0.6397186147186147
0.7,0.1,1e-7,2,"[2, 2]",0.755,0.0
0.7,0.1,1e-7,2,"[4, 4]",0.755,0.0
0.7,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
0.7,0.25,1e-7,1,[4],0.8233333333333335,0.5321428571428571
0.7,0.25,1e-7,1,[6],0.8633333333333333,0.6397186147186147
0.7,0.25,1e-7,2,"[2, 2]",0.755,0.0
0.7,0.25,1e-7,2,"[4, 4]",0.8433333333333334,0.6306277056277056
0.7,0.25,1e-7,3,"[4, 4, 4]",0.755,0.0
0.8,0.0,1e-7,1,[4],0.8433333333333334,0.609004329004329
0.8,0.0,1e-7,1,[6],0.8383333333333333,0.6306277056277056
0.8,0.0,1e-7,2,"[2, 2]",0.755,0.0
0.8,0.0,1e-7,2,"[4, 4]",0.755,0.0
0.8,0.0,1e-7,3,"[4, 4, 4]",0.755,0.0
0.8,0.1,1e-7,1,[4],0.755,0.0
0.8,0.1,1e-7,1,[6],0.8433333333333334,0.6230519480519481
0.8,0.1,1e-7,2,"[2, 2]",0.755,0.0
0.8,0.1,1e-7,2,"[4, 4]",0.7933333333333333,0.447014652014652
0.8,0.1,1e-7,3,"[4, 4, 4]",0.755,0.0
0.8,0.25,1e-7,1,[4],0.8433333333333334,0.6230519480519481
0.8,0.25,1e-7,1,[6],0.8583333333333334,0.6397186147186147
0.8,0.25,1e-7,2,"[2, 2]",0.755,0.0
0.8,0.25,1e-7,2,"[4, 4]",0.755,0.0
0.8,0.25,1e-7,3,"[4, 4, 4]",0.755,0.0
