alpha,lamba,epsilon,number of hidden layers,number of neurons for hidden layers,accuracy,F1 score
0.6,0.0,1e-7,1,[4],0.7894083694083694,0.8332161686702702
0.6,0.0,1e-7,1,[6],0.7892207792207792,0.8330401393626975
0.6,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.6,0.0,1e-7,2,"[4, 4]",0.7994083694083695,0.842225648274456
0.6,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.6,0.1,1e-7,1,[4],0.7936652236652236,0.8369229898465935
0.6,0.1,1e-7,1,[6],0.7858874458874459,0.8308201106154343
0.6,0.1,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.6,0.1,1e-7,2,"[4, 4]",0.7892207792207792,0.8326796861260952
0.6,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.6,0.25,1e-7,1,[4],0.7938528138528138,0.8369661984384728
0.6,0.25,1e-7,1,[6],0.7994083694083695,0.8423646284260758
0.6,0.25,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.6,0.25,1e-7,2,"[4, 4]",0.6627417027417027,0.7816284715944251
0.6,0.25,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.7,0.0,1e-7,1,[4],0.7958874458874459,0.8394727556582282
0.7,0.0,1e-7,1,[6],0.7914430014430014,0.8344326433208987
0.7,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.7,0.0,1e-7,2,"[4, 4]",0.5927128427128429,0.685636709204453
0.7,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.7,0.1,1e-7,1,[4],0.7947763347763347,0.8400139800865635
0.7,0.1,1e-7,1,[6],0.7658874458874458,0.8217248574292391
0.7,0.1,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.7,0.1,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.7,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.7,0.25,1e-7,1,[4],0.7960750360750362,0.8387586405195565
0.7,0.25,1e-7,1,[6],0.7916305916305917,0.8357196259886173
0.7,0.25,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.7,0.25,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.7,0.25,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.8,0.0,1e-7,1,[4],0.796075036075036,0.8399157611292184
0.8,0.0,1e-7,1,[6],0.7951515151515152,0.8391839448097127
0.8,0.0,1e-7,2,"[2, 2]",0.614935064935065,0.7614987781699702
0.8,0.0,1e-7,2,"[4, 4]",0.6794083694083695,0.7882618709077815
0.8,0.0,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.8,0.1,1e-7,1,[4],0.8005194805194804,0.8427980738589964
0.8,0.1,1e-7,1,[6],0.8005194805194804,0.8428366809623238
0.8,0.1,1e-7,2,"[2, 2]",0.7994083694083695,0.8462112815494723
0.8,0.1,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.8,0.1,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
0.8,0.25,1e-7,1,[4],0.8005194805194804,0.8434235859758157
0.8,0.25,1e-7,1,[6],0.7927417027417027,0.8354520002570901
0.8,0.25,1e-7,2,"[2, 2]",0.5927128427128429,0.685636709204453
0.8,0.25,1e-7,2,"[4, 4]",0.614935064935065,0.7614987781699702
0.8,0.25,1e-7,3,"[4, 4, 4]",0.614935064935065,0.7614987781699702
